iter	Passed	Remaining
668	18004	8908
669	18026	8878
670	18052	8851
671	18075	8822
672	18103	8796
673	18134	8771
674	18159	8743
675	18186	8716
676	18213	8689
677	18237	8661
678	18264	8634
679	18289	8607
680	18315	8579
681	18343	8553
682	18374	8528
683	18409	8504
684	18440	8479
685	18471	8454
686	18501	8429
687	18531	8403
688	18558	8376
689	18584	8349
690	18607	8320
691	18635	8294
692	18664	8268
693	18688	8240
694	18720	8215
695	18753	8191
696	18785	8166
697	18818	8142
698	18853	8118
699	18885	8093
700	18925	8072
701	18946	8042
702	19002	8028
703	19043	8006
704	19078	7983
705	19100	7953
706	19127	7926
707	19152	7898
708	19177	7871
709	19201	7842
710	19222	7813
711	19248	7785
712	19269	7756
713	19295	7729
714	19320	7701
715	19345	7673
716	19367	7644
717	19399	7619
718	19422	7590
719	19447	7563
720	19473	7535
721	19499	7507
722	19523	7479
723	19545	7450
724	19565	7421
725	19589	7393
726	19609	7363
727	19630	7334
728	19656	7307
729	19679	7278
730	19701	7249
731	19721	7220
732	19747	7193
733	19771	7165
734	19799	7138
735	19826	7111
736	19853	7084
737	19875	7056
738	19903	7029
739	19933	7003
740	19964	6978
741	19991	6951
742	20020	6925
743	20043	6896
744	20071	6870
745	20098	6843
746	20129	6817
747	20154	6789
748	20180	6762
749	20208	6736
750	20229	6707
751	20257	6680
752	20279	6652
753	20309	6626
754	20340	6600
755	20368	6573
756	20396	6547
757	20420	6519
758	20443	6491
759	20466	6463
760	20493	6436
761	20517	6408
762	20546	6382
763	20576	6356
764	20603	6329
765	20626	6301
766	20646	6272
767	20670	6244
768	20696	6216
769	20721	6189
770	20746	6162
771	20770	6134
772	20794	6106
773	20819	6079
774	20845	6051
775	20868	6023
776	20891	5995
777	20913	5967
778	20940	5940
779	20965	5913
780	20988	5885
781	21013	5858
782	21038	5830
783	21061	5802
784	21092	5776
785	21114	5748
786	21138	5720
787	21162	5693
788	21190	5666
789	21216	5639
790	21242	5612
791	21266	5585
792	21289	5557
793	21313	5529
794	21347	5504
795	21372	5477
796	21401	5450
797	21426	5423
798	21452	5396
799	21476	5369
800	21505	5342
801	21537	5317
802	21568	5291
803	21605	5267
804	21638	5241
805	21670	5215
806	21702	5190
807	21734	5164
808	21759	5137
809	21783	5109
810	21809	5082
811	21841	5056
812	21870	5030
813	21898	5003
814	21927	4977
815	21959	4951
816	21991	4925
817	22021	4899
818	22045	4872
819	22072	4845
820	22096	4817
821	22125	4791
822	22146	4763
823	22171	4735
824	22200	4709
825	22244	4685
826	22286	4662
827	22313	4635
828	22340	4608
829	22372	4582
830	22399	4555
831	22422	4527
832	22452	4501
833	22478	4474
834	22508	4447
835	22541	4421
836	22569	4395
837	22595	4368
838	22616	4340
839	22645	4313
840	22676	4287
841	22709	4261
842	22734	4234
843	22762	4207
844	22790	4180
845	22819	4153
846	22850	4127
847	22876	4100
848	22916	4075
849	22951	4050
850	22981	4023
851	23009	3996
852	23036	3970
853	23059	3942
854	23085	3915
855	23116	3888
856	23149	3862
857	23175	3835
858	23209	3809
859	23241	3783
860	23268	3756
861	23297	3729
862	23329	3703
863	23363	3677
864	23396	3651
865	23422	3624
866	23444	3596
867	23471	3569
868	23500	3542
869	23526	3515
870	23558	3489
871	23579	3461
872	23605	3434
873	23632	3406
874	23656	3379
875	23680	3352
876	23707	3324
877	23733	3297
878	23759	3270
879	23787	3243
880	23814	3216
881	23837	3189
882	23861	3161
883	23885	3134
884	23907	3106
885	23936	3079
886	23968	3053
887	23998	3026
888	24027	3000
889	24056	2973
890	24087	2946
891	24120	2920
892	24151	2893
893	24208	2870
894	24237	2843
895	24260	2815
896	24291	2789
897	24327	2763
898	24379	2738
899	24428	2714
900	24456	2687
901	24483	2660
902	24514	2633
903	24540	2606
904	24573	2579
905	24600	2552
906	24635	2526
907	24677	2500
908	24759	2478
909	24796	2452
910	24824	2425
911	24852	2398
912	24881	2370
913	24909	2343
914	24934	2316
915	24958	2288
916	24982	2261
917	25004	2233
918	25027	2205
919	25050	2178
920	25076	2150
921	25102	2123
922	25127	2096
923	25150	2068
924	25177	2041
925	25197	2013
926	25223	1986
927	25243	1958
928	25264	1930
929	25286	1903
930	25311	1875
931	25337	1848
932	25361	1821
933	25387	1793
934	25419	1767
935	25450	1740
936	25484	1713
937	25519	1686
938	25553	1660
939	25585	1633
940	25610	1605
941	25642	1578
942	25671	1551
943	25697	1524
944	25727	1497
945	25754	1470
946	25782	1442
947	25812	1415
948	25836	1388
949	25861	1361
950	25884	1333
951	25910	1306
952	25936	1279
953	25964	1251
954	25987	1224
955	26014	1197
956	26039	1169
957	26061	1142
958	26085	1115
959	26114	1088
960	26143	1060
961	26170	1033
962	26199	1006
963	26225	979
964	26267	952
965	26296	925
966	26331	898
967	26362	871
968	26386	844
969	26411	816
970	26441	789
971	26467	762
972	26490	735
973	26511	707
974	26537	680
975	26564	653
976	26593	626
977	26619	598
978	26644	571
979	26671	544
980	26694	517
981	26716	489
982	26737	462
983	26762	435
984	26788	407
985	26811	380
986	26836	353
987	26856	326
988	26880	298
989	26907	271
990	26932	244
991	26953	217
992	26978	190
993	27003	162
994	27028	135
995	27050	108
996	27073	81
997	27098	54
998	27120	27
999	27142	0
